27 3
0         0         0    1
1.0000         0         0    1
1.0000    1.0000         0    1
0    1.0000         0    1
0         0    1.0000    1
1.0000         0    1.0000    1
1.0000    1.0000    1.0000    1
0    1.0000    1.0000    1
0.5029    0.5978         0    1
0.5769         0         0    1
0.5176    0.5731    0.5725    0
0.4310         0    0.4969    1
0         0    0.5690    1
0    0.5055    0.4419    1
0    0.4959         0    1
1.0000    0.5603    0.5260    1
1.0000    0.4456         0    1
1.0000         0    0.5229    1
1.0000    1.0000    0.4725    1
0.4180    1.0000         0    1
0.4223    1.0000    0.4979    1
0    1.0000    0.4385    1
0.5357    0.5172    1.0000    1
0.4990         0    1.0000    1
0    0.5333    1.0000    1
1.0000    0.4167    1.0000    1
0.4295    1.0000    1.0000    1
48 4
7 11 19 16 1
11 1 9 10 1
19 9 3 17 1
16 10 17 2 1
19 9 17 16 2
19 9 16 11 1
16 10 11 9 1
16 10 9 17 2
7 11 16 26 2
11 1 10 12 2
16 10 2 18 2
26 12 18 6 2
16 10 18 12 1
16 10 12 11 2
26 12 11 16 2
26 12 16 18 1
7 11 26 23 1
11 1 12 13 1
26 12 6 24 1
23 13 24 5 1
26 12 24 23 2
26 12 23 11 1
23 13 11 12 1
23 13 12 24 2
7 11 23 27 2
11 1 13 14 2
23 13 5 25 2
27 14 25 8 2
23 13 25 14 1
23 13 14 11 2
27 14 11 23 2
27 14 23 25 1
7 11 27 21 1
11 1 14 15 1
27 14 8 22 1
21 15 22 4 1
27 14 22 21 2
27 14 21 11 1
21 15 11 14 1
21 15 14 22 2
7 11 21 19 2
11 1 15 9 2
21 15 4 20 2
19 9 20 3 2
21 15 20 9 1
21 15 9 11 2
19 9 11 21 2
19 9 21 20 1
% inner node: 0
% Dirichlet node: 1, 2, 3, 4
% Neumann node: 5, 6
% Dirichlet-Dirichlet node: 12, 23, 34
% Dirichlet-Neumann node: 45, 61
% Neumann-Neumann node: 56
